Nome,Saldo
Elinor Rolfson,
Elinor Yost VM,
Elinore Hermiston,
Elinore Rice,
Elisabeth Batz,
Elisabeth Monahan,
Elise Lowe,
Eliseo Baumbach Sr.,
Eliseo Dare,
Eliseo Goyette,0.0
Eliseo Larson,
Elisha Bradtke,
Elisha Davis,
Elisha Kub,
Elisha Leffler,
Elisha Nader I,
Elisha Price Esq.,
Elissa Koss,
Eliza O'Keefe,
Elizabeth Williamson,
Elizabeth Zemlak CPA,
Elizbeth Kub I,
Elke Rowe,
Ellen Balistreri,
Ellen Gleichner,
Elli Ruecker,
Ellie Harvey,
Elliot Haley,
Elliot VonRueden,
Elliott Ankunding,
Elliott Stokes,
Elliott Stracke,
Ellis Ankunding,
Ellis Boyle,
Ellis Cole,
Ellis Lemke,
Ellis Wilkinson,
Ellsworth Hilpert,
Ellsworth Ryan III,
Elly Sporer,
Elma Parisian,
Elmer Carroll,
Elmer Emard,
Elmer Little,
Elmer Reinger,
Elmer Schmeler,
Elmer Schroeder,
Elmira Bayer,
Elmo Bailey,-7.52000000000001
Elmo Dicki,
Elmo Johnston,
Elmo Muller,
Elna Dickinson,
Elna Price,
Elnora Gulgowski III,
Eloisa Hansen,
Eloy Bosco,
Eloy Erdman,
Eloy Fay,
Eloy Herzog,
Eloy McLaughlin,
Eloy Nienow,
Elroy Gislason,
Elroy Kuvalis DDS,
Elroy Pouros,
Elroy Schmeler,
Elroy Shanahan,
Elroy Zieme,
Elsa Volkman,
Elsie Hansen,
Elsy Larson,
Elsy Purdy III,
Elton Hoppe Jr.,
Elton Murazik,
Elton O'Reilly,
Elton Swift CPA,
Elton Turner,
Elvera Rosenbaum,
Elvia Durgan,
Elvia Wolff I,
Elvin Hauck,
Elvin King,
Elvin Toy,
Elvin Tromp DDS,
Elvin Wilkinson,
Elvira Hessel,
Elvis Cummings,
Elvis Goldner,
Elvis Kunde,
Elvis Wuckert,
Elwood Dietrich,
Elwood Herzog VM,
Elwood Oberbrunner,
Elyse Schultz,
Ema Parisian,
Ema Sporer,
Emanuel Gusikowski,
Emanuel Hayes,
Emanuel Howell,
Emanuel Leffler,
Emanuel Zemlak,
Emelda Carroll,
Emelda Turner,
Emelia Fritsch,
Emelia Sipes IV,
Emeline Kunde,0.0
Emely Harvey,
Emerald Ziemann,
Emerita Klein Esq.,
Emerson Brekke,
Emerson Corwin,
Emerson Heidenreich,
Emerson Maggio,
Emerson Moen,
Emerson Satterfield,
Emerson Torp,
Emery Heidenreich,
Emiko Nitzsche,
Emiko Tillman,
Emil Gerlach,
Emil Goyette VM,
Emil Legros,
Emil Prohaska,
Emile Bauch,
Emile Cormier,
Emile Donnelly,
Emile Okuneva,
Emile Schneider,
Emile Schultz,
Emilee Kris,
Emilie Roberts,
Emilio Renner,
Emilio Sipes,
Emily Bernier,
Emily Dare,
Emily Heidenreich,
Emily Klein,
Emma Crona,
Emmaline Farrell,
Emmaline Weimann,
Emmanuel Larkin,
Emmanuel Luettgen,
Emmett Breitenberg,
Emmett Stoltenberg,
Emmett Toy JD,
Emmitt Auer,
Emmitt Bode,
Emmitt Brakus CPA,
Emmitt Cruickshank,
Emmitt Kuhic,
Emmitt Schroeder,
Emogene Brekke,
Emory Green LLD,
Emory Hagenes,
Emory Mayert,
Emory Schoen,
Emory Vandervort,
Ena Olson,
Enda Dare I,
Enda Gislason Jr.,
Enedina Conroy,
Enoch Armstrong,
Enoch Bauch,
Enoch Goodwin,
Enola Thiel,
Enrique Hoppe,
Enrique Kutch VM,
Enrique Langworth,
Enrique Prohaska,
Enrique Zboncak LLD,
Enriqueta Wolff,
Epifania Dickinson,
Erasmo Crona,
Erasmo Schmeler,
Erasmo Welch,
Eric Barrows,
Eric Bosco,
Eric Gerhold,
Eric MacGyver,
Eric Shanahan,
Erica Pfeffer,
Erich Schiller,
Erick Kemmer,
Erick Koelpin,
Erik Hammes,
Erika Yost,
Erin Adams,
Erin Hyatt,
Erin Metz,
Erin Sipes,
Erin Towne,
Erin Turner,
Erin Ziemann,
Erinn Kiehn,
Erinn Mills,
Erinn Thompson CPA,
Erlene Bauch,
Erline Lowe,
Erline Marvin,
Erma Medhurst,
Ermelinda Schaefer,
Erna Labadie,
Ernest Krajcik,
Ernest Quitzon I,
Ernestina Rosenbaum,
Ernesto Greenholt,0.0
Ernesto Huel,
Ernesto Nitzsche,
Ernesto Smitham,
Ernesto Will,
Ernie Koepp,
Ernie Kunze IV,
Ernie Toy,
Errol Bosco,
Ervin Boyer,
Ervin Langosh,
Ervin Lemke,
Ervin Wunsch,
Erwin Dare Esq.,
Erwin Kilback,
Erwin O'Connell,
Esmeralda Jacobi,
Essie Moen,
Esta Christiansen Jr.,
Esteban D'Amore,
Esteban Hauck,
Esteban Orn DVM,
Esteban Yost,
Estefana Blick,
Estefana Marvin,
Estelle Streich,
Esther Franecki CPA,
Esther Hodkiewicz DC,
Esther Stoltenberg,
Estrella Reichert,
Etha Heathcote,
Ethan Corwin,
Ethan Dickens DO,
Ethan Robel,
Ethan Schimmel,
Ethan Tromp,
Ethel Hudson,
Ethelene Borer MD,
Ethelene Welch,
Ethelyn Goyette Jr.,
Etsuko Champlin,
Ettie Gibson DDS,
Eufemia Nikolaus,
Eugena Schmeler,
Eugene Denesik,
Eugene Kshlerin,
Eugene Lindgren JD,
Eugene Schaefer,
Eugene Waelchi Ret.,
Eugenia Franecki MD,
Eugenia Murray,
Eugenia Ortiz,
Eugenie Stark,
Eugenio Bartoletti,
Eugenio Raynor,
Eugenio Wunsch,
Eula O'Keefe,
Eulah Von,
Eulalia Fahey,
Eulalia Jerde,
Eun Steuber MD,
Euna Ledner,
Eunice Ernser,
Eunice Steuber,
Eura Haag,
Eura Ledner VM,
Eusebio Abshire,
Eusebio Block,
Eusebio Hauck,
Eusebio Huels,
Eustolia Dickinson III,
Evan Fadel,
Evan Stiedemann II,
Evangelina Purdy,
Evangeline Schmeler,
Evelia Casper,
Evelia Walker,
Evelin Turner,
Evelina Beatty,
Evelina Graham,
Evelina Murphy JD,
Evelyn Botsford,
Evelyn Kovacek,
Evelyn Zulauf,
Evelyne Kunde,
Everett Connelly,
Everett Jakubowski DC,
Everett Nitzsche,
Everett Predovic Esq.,
Everette Bailey,
Everette Cormier,
Everette Rempel,
Evie Medhurst,
Evita Wilderman,
Evon Green,
Evonne Crist,
Evonne Welch,
Exie Mills CPA,
Ezekiel Bode,
Ezekiel Hermiston,
Ezekiel Moen,
Ezekiel Wiza III,
Ezequiel Dickinson,
Ezequiel Johnston,
Ezequiel Roob,-105.33
Ezra Barrows,
Ezra Beer,
Ezra Heathcote,
Ezra Weber,
Fabian Ernser,
Fabian Grady,
Fabian Grady,
Fabian Kuhlman,
Fabian Murray,
Fabian Tromp,
Fae Hane,
Fae Hauck,
Fae Kunze,
Fairy Witting,
Fallon Hermiston I,
Fallon Kihn V,
Fannie Casper,
Fannie Daugherty Jr.,
Fanny Runolfsdottir,
Farrah Bergnaum,
Fatimah Cremin Ret.,
Fatimah Shields,
Faustina Ebert DC,
Faustina Heller,
Faustina Wehner,
Faustino Gutmann,
Faustino Homenick,
Faustino Hudson,
Faustino Ortiz II,
Faustino Robel,
Fausto Jast,
Fausto Keeling DC,
Fausto Mohr II,
Fausto Pfannerstill,
Fay Hintz,154.73
Faye Hessel,
Faye Mitchell,
Fe Ruecker,
Fe Toy,
Federico Brown,
Federico Donnelly,
Federico Grant,
Federico Green Sr.,
Federico Pouros,
Felecia Bernhard,
Felecia Bode,
Felice Dare III,
Felice MacGyver,
Felice Swift,
Felicia Borer,
Felicidad Raynor Sr.,
Felicidad Stroman V,
Felicita Bogisich DDS,
Felicita MacGyver,
Felipe Bruen,
Felipe Hagenes,
Felipe Kertzmann,
Felipe Morar,
Felix Botsford,
Felix Fadel,
Felix Monahan Ret.,
Felix Thiel,
Felton Leffler,
Felton Watsica LLD,
Felton Weimann,
Ferdinand Buckridge,
Ferdinand Hammes,
Ferdinand Stroman,
Fermin Dach CPA,
Fermin Jerde,44.0
Fermin McClure,
Fermin McDermott,
Fermin Stamm,
Fermina Cassin,
Fern Johns,
Fern Lowe,
Fern Sipes,
Fernanda Bergstrom,
Fernande Fahey,
Fernande Hoeger,
Fernando McClure IV,
Fernando Stracke,
Fernando Stroman DO,
Fernando Yundt,
Fidel Koch,
Fidel Konopelski,
Fidel Simonis MD,
Fidel Wuckert,
Fidela Yost V,
Filiberto Beahan DO,
Filiberto Conn,
Filiberto Jacobson,
Filiberto Lang,
Filiberto Rogahn,
Filomena Mueller,
Filomena Walker,
Fiona Collier,
Fiona Nienow,
Flavia Hauck,
Fleta Bechtelar CPA,
Fletcher Bartoletti,
Fletcher Rowe,
Fletcher Stiedemann,-23.97
Flo Dach,
Flor Wuckert,
Flora Borer DC,
Florencia Terry,
Florencio Abbott,
Florencio Auer,
Florencio Becker Sr.,
Florencio Luettgen,
Florencio Rogahn,
Florencio Rutherford,
Florentina Keebler,
Florentina Mayer JD,
Florentino Barrows,
Florentino Hayes,
Floretta Raynor,
Floria Cole,
Floria O'Hara,
Floria Schroeder,
Florida Corkery,
Florinda Ruecker,
Florinda Schroeder,
Florine Abshire DDS,
Florrie Hills,
Flossie Reichel,
Flossie Wolf,
Floy Renner,
Floyd Beatty,
Floyd Keeling DDS,
Floyd Klein,
Floyd Lockman,
Forest Auer,
Forest Bechtelar,
Forest Conroy,
Forest Hodkiewicz,
Forest Konopelski,
Forest Nienow III,
Forest Witting,
Forest Zemlak,
Forrest Lemke,
Foster Collins,
Foster Wilderman,
Foster Wunsch,
Fr. Abby Mayert,
Fr. Alfonso Rutherford,
Fr. Alfonzo Witting,
Fr. Amada Vandervort,
Fr. Ami Schamberger,
Fr. Ana Ryan,
Fr. Antwan Spinka,
Fr. Brendan Parisian,
Fr. Brooks Toy,
Fr. Cedric Bogan,
Fr. Chantell Ritchie,
Fr. Charla Herzog,
Fr. Chong Strosin,
Fr. Chuck Quitzon,
Fr. Clair Kub,
Fr. Cliff Prohaska,
Fr. Clifton Jaskolski,
Fr. Colby Beatty,
Fr. Colin Towne,
Fr. Cordelia Koepp,
Fr. Corey Keebler,
Fr. Cornell Reilly,
Fr. Cristin Wintheiser,
Fr. Cristine Rohan,
Fr. Cyndy DuBuque,
Fr. Dagmar Stehr,
Fr. Dahlia Franecki,
Fr. Damon Hilll,
Fr. Dannie Upton,
Fr. Darcey Graham,
Fr. Daryl Carroll,
Fr. Denisse Corkery,
Fr. Dennis Osinski,
Fr. Denver Stoltenberg,
Fr. Deon Yundt,
Fr. Devin Gibson,
Fr. Dian Carter,
Fr. Eda Nicolas,
Fr. Eliana Tremblay,
Fr. Emiko Waters,
Fr. Emil Hoppe,
Fr. Eneida Reinger,
Fr. Ethan Williamson,
Fr. Ezequiel Mills,
Fr. Fabian Sporer,
Fr. Fredrick Robel,
Fr. Gale Ernser,
Fr. Gus Franecki,
Fr. Henriette Padberg,
Fr. Inge Bergnaum,
Fr. Jasper Huel,
Fr. Jin Gottlieb,
Fr. Jody Balistreri,
Fr. Joesph Mertz,
Fr. Juan Bashirian,
Fr. Kelley Reilly,
Fr. Ken Rath,
Fr. Lacey Prohaska,
Fr. Lanny O'Connell,
Fr. Lashunda Beatty,
Fr. Laure Prohaska,
Fr. Leora Veum,
Fr. Lesia Terry,
Fr. Lesley Wehner,
Fr. Magaret Paucek,
Fr. Malik Bruen,
Fr. Malinda Fadel,
Fr. Marisela Hudson,
Fr. Maryalice Corwin,
Fr. Marylouise Nolan,
Fr. Matt Kreiger,
Fr. Maurice Kozey,
Fr. Mckinley Schuster,18.089999999999996
Fr. Michal Dare,
Fr. Myong Cremin,
Fr. Nova Osinski,
Fr. Orpha Jast,
Fr. Paige Mills,
Fr. Pearlene Crooks,
Fr. Philip Lindgren,
Fr. Ranee Huels,
Fr. Reinaldo Skiles,
Fr. Renaldo Satterfield,
Fr. Rhett Feest,
Fr. Ricky McLaughlin,
Fr. Roderick Bednar,
Fr. Salina Dach,
Fr. Sammie Franecki,
Fr. Sammy Nienow,
Fr. Scot Langworth,
Fr. Shirley Medhurst,
Fr. Sidney Bosco,
Fr. Simon Sawayn,
Fr. Slyvia Gutkowski,
Fr. Stormy McLaughlin,
Fr. Sumiko Runolfsson,
Fr. Susy Lockman,
Fr. Theressa Berge,
Fr. Tommy Hills,
Fr. Vanesa Zieme,
Fr. Vivan Koss,
Fr. Wendie Cole,
Fr. Wilber O'Kon,
Fr. Yetta Hirthe,
France Aufderhar,
Frances Feest,
Frances Nienow DVM,
Frances Senger,
Frances Sporer,
Francesco Schaefer,
Francesco Stanton,
Francesco Thiel I,
Francie Hoppe,
Francina Durgan,
Francina Stroman,
Francis Halvorson,
Francis Koss I,
Francis Schiller,
Francis Shanahan,
Francisco Boyle III,
Francisco Steuber,
Francoise Balistreri,
Frank Hansen,
Frank Predovic,
Frank Predovic VM,
Frank Roob,
Frank Spinka,
Frankie Christiansen,
Frankie Kautzer DO,
Frankie Kreiger,
Frankie Satterfield,
Franklin Murphy DO,
Franklin O'Kon,
Franklin Sawayn,
Franklin Weimann Jr.,
Franklyn McGlynn,
Franklyn Mitchell DO,
Franklyn Parisian,
Fransisca Donnelly,
Fransisca Hilpert,
Fred Bradtke DC,
Fred Hilpert,
Fred Hirthe,
Fred Hodkiewicz II,
Fred Price I,
Freddie Dietrich,
Freddie Johnston,
Freddie Rempel,
Freddie Thompson,
Freddie Weissnat III,
Freddie Welch,
Freddie Willms,
Freddy Bailey,
Freddy Lindgren Sr.,
Freddy Zieme,
Frederic Bartoletti DDS,
Frederic Feeney,
Frederic Kunde MD,
Frederic Reichel,
Frederic Reynolds,
Frederick Harber,
Frederick Jacobs DDS,
Frederick Rohan,
Frederick Upton LLD,
Fredericka Abernathy V,
Fredia Stamm,
Fredia Tillman CPA,
Fredric Ankunding,
Fredric Ferry,
Fredric Howe,
Fredric Konopelski,
Fredric Olson,
Fredric Rohan,
Fredric Wilderman DVM,
Fredrick Haag II,
Freeda Greenfelder,
Freeman Bahringer,
Freeman Crist,
Freeman Daugherty DDS,
Freeman Fisher,
Freeman Osinski,
Frida Bashirian,
Frida Wunsch,
Frieda Kunze V,
Fritz Balistreri,
Fritz Boyle,
Gabriel Durgan,
Gabriel Hoeger,
Gabriel Kilback II,
Gabriel Kuphal,
Gabriel Lynch,
Gabriel Pfeffer,
Gabriel Trantow IV,
Gabriela Beahan,
Gabriele Satterfield Esq.,
Gabrielle Swaniawski,
Gail Auer,
Gail Boehm VM,
Gala Dickinson,
Gale Block II,
Gale Crooks,
Gale Hilll,
Gale Pagac,
Galen Ferry,
Galen Frami,
Garfield Bins PhD,
Garfield Deckow,
Garfield Ferry,
Garfield Goodwin DO,
Garfield Grimes,
Garfield Jakubowski,
Garfield Lueilwitz,
Garfield Ullrich,
Garland Crooks,
Garland Dooley,
Garland Macejkovic Ret.,
Garnet Hintz DO,
Garnet Schoen MD,
Garret Abernathy,
Garrett Baumbach,
Garrett Beier,
Garrett Blick,
Garrett Considine,
Garrett Jenkins DO,
Garrett Schaefer,
Garrett Zulauf,
Garry Shanahan,
Garth Auer,
Garth Nader PhD,
Gary Doyle DC,
Gary Veum,
Gaston Bernier,
Gavin Deckow,
Gavin Hyatt,
Gavin Jakubowski,
Gavin Zemlak,
Gay McGlynn,
Gaye Conn,
Gaye Schuppe,
Gayla D'Amore,
Gayla Kuhn,
Gayla Schiller I,
Gayle Blanda,
Gayle Bradtke DDS,
Gayle Hessel,
Gayle Jacobs,
Gayle Leffler II,
Gayle Lockman,
Gayle Stroman,
Gayle Wilderman,
Gaynell Breitenberg,
Gaynelle Cronin,
Gaynelle Weissnat,
Gearldine Schimmel,
Gearldine Trantow,
Gemma Hane JD,
Gemma Sipes,
Genaro Fadel,
Genaro Greenholt,
Genaro Hudson,
Genaro Lemke,
Genaro O'Reilly,
Genaro Olson JD,
Genaro West,
Gene Cartwright,
Gene Cormier,
Gene Spencer,
Genesis Lemke,
Genesis Stoltenberg,
Geneva Ledner,
Geneva Nikolaus,
Genevieve Parker,
Genia Dibbert DVM,
Genia Funk,
Genie Konopelski,
Genie Kozey Ret.,
Genie Rath Ret.,
Genna Flatley,
Genna Schulist,
Genna White DVM,
Gennie Brown,
Genny Paucek I,
Genny Runolfsdottir V,
Genoveva Cormier,
Geoffrey Adams,
Geoffrey Bode,
Geoffrey Keebler,
Geoffrey Kuhlman,9.560000000000002
Geoffrey Streich Ret.,
Georgann Stehr,
George Daugherty,
George Douglas DO,
George Leannon,
George Lubowitz,
George Prohaska Esq.,
Georgeanna Johns,
Georgetta Braun,
Georgetta Kautzer,
Georgetta Olson,
Georgetta Reynolds,
Georgianne Kulas,
Georgianne Mueller,
Georgianne Pacocha,-61.67
Georgina Balistreri,
Georgina Botsford,
Georgine Kunze,
Gerald Bogisich,
Gerald Cronin,
Gerald MacGyver,
Gerald McKenzie II,
Gerald Ryan,
Gerald Strosin Esq.,
Geraldo Larson MD,
Geraldo Lehner,
Gerard Kuphal III,
Gerard Mueller,
Gerard Schumm,
Gerard Turcotte,
Gerardo Borer,
Gerardo Dibbert,
Gerardo Kuhic,
Gerardo Olson,
Gerardo Turner V,
Gerda Hauck,
Geri Lakin,
Germaine Schmidt DC,
Germaine Watsica,
Gerry Blanda JD,
Gerry Hackett,
Gerry Hammes,
Gerry Roob,
Gerry Towne,
Gerry Zemlak,
Gertha Satterfield CPA,
Gertie Leuschke,
Gertrud Considine,
Gertrud Gerhold,
Gertrudis Lowe,
Gia Schamberger,
Gianna Kilback,
Gianna Stamm,
Gidget Rutherford,
Gil Bode JD,
Gil Tremblay,
Gilbert Donnelly Ret.,
Gilbert Franecki VM,
Gilbert Heathcote IV,
Gilbert MacGyver,
Gilberte Anderson,
Gilberto Beier,
Gilberto Grant,
Gilberto Herzog,
Gilberto Walker,
Gilda Dach,
Gilma Rowe,
Ginger Hamill Ret.,
Ginger Simonis MD,
Ginger Torp,
Gino Corwin III,
Gino Schinner,
Giovanna Kiehn,
Giovanni Weber,
Gisela Schoen,
Gita Farrell,
Giuseppe DuBuque,
Giuseppe Kuphal,
Giuseppe Ratke,
Glady Ernser,
Glady Feeney,
Glady Treutel,
Glady White,
Gladys Hartmann,
Glayds Daugherty CPA,
Glayds Schamberger,
Glen Baumbach,
Glen Bechtelar Ret.,
Glen Olson DC,
Glen Veum,
Glenda Grady,
Glenda Willms,
Glendora Treutel,
Glenn Considine,
Glenn Herman,
Glennie Jerde,
Glennis Swaniawski,
Glinda Bechtelar,
Gloria Schroeder,
Glory MacGyver JD,
Glynda Feeney,
Glynis Olson,
Gonzalo Bruen,
Gonzalo Kerluke,
Gonzalo Mann DDS,
Gonzalo Ondricka,
Gonzalo Pouros,
Gonzalo Schimmel,
Gordon Denesik Jr.,
Gordon Heidenreich,
Gordon Kub,
Gov. Andre Schuppe,
Gov. Annita Mosciski,
Gov. Antoine Dietrich,
Gov. April Goldner,
Gov. Arline Funk,
Gov. Aubrey Davis,
Gov. Aubrey Nader,
Gov. Bryan Ledner,
Gov. Burt O'Keefe,
Gov. Cameron Schinner,
Gov. Carl Schoen,
Gov. Carmel Schneider,
Gov. Carson Hamill,
Gov. Cathleen Hermiston,
Gov. Cesar Kohler,
Gov. Chery Kilback,
Gov. Darrell Miller,
Gov. Deeanna Vandervort,
Gov. Demetrius Wintheiser,
Gov. Denise Johnston,
Gov. Derrick Robel,
Gov. Dewitt Ernser,
Gov. Dong Hansen,
Gov. Duane Gutkowski,
Gov. Eleonor Schimmel,
Gov. Ellan Schiller,
Gov. Emilie Stehr,
Gov. Ethan Murphy,
Gov. Fernando Morissette,
Gov. Frank Rohan,
Gov. Frankie Mohr,
Gov. Fredrick Witting,
Gov. Gene Franecki,
Gov. Genna McDermott,
Gov. Guy Hermiston,
Gov. Guy Shanahan,
Gov. Gwenn Crooks,
Gov. Hilario Crist,
Gov. Isabel Corkery,
Gov. Jacquie Huel,0.0
Gov. Jasmin Huel,
Gov. Jeremiah O'Reilly,
Gov. Jerold Swift,
Gov. Joaquin Bednar,
Gov. Jolanda Veum,
Gov. Josefina Bergstrom,
Gov. Kenny Thiel,
Gov. Lashandra Spinka,
Gov. Leesa Emard,
Gov. Lenore Morissette,
Gov. Logan Veum,
Gov. Lonny Schumm,
Gov. Loyd Lindgren,
Gov. Lulu Bogisich,
Gov. Madelaine Daugherty,
Gov. Madeline Collins,
Gov. Malena Mann,
Gov. Marion Connelly,
Gov. Markus O'Conner,
Gov. Mendy Langworth,
Gov. Meridith Quitzon,
Gov. Merle Stokes,
Gov. Moises Hintz,
Gov. Mollie Kuhic,
Gov. Myles Rodriguez,
Gov. Nga Hane,
Gov. Nicholas Dietrich,
Gov. Olin Abshire,
Gov. Olin Bailey,
Gov. Otha Bednar,
Gov. Otto Sporer,
Gov. Pat Armstrong,
Gov. Paul Gleichner,
Gov. Penny Hickle,
Gov. Phylicia Senger,
Gov. Reggie Okuneva,
Gov. Rocky Rath,
Gov. Roosevelt Pouros,
Gov. Rutha Schaden,
Gov. Ryan Weimann,
Gov. Sam Padberg,
Gov. Sammy Schowalter,
Gov. Sarai Mayer,
Gov. Sharron Willms,
Gov. Stanton Price,
Gov. Stephaine Erdman,
Gov. Tawna Murazik,
Gov. Terisa Quigley,
Gov. Thaddeus Barrows,
Gov. Thalia Schinner,
Gov. Theodore Runolfsdottir,
Gov. Thuy Roberts,
Gov. Tory Bartoletti,
Gov. Trinidad Walker,
Gov. Valarie Murray,
Gov. Vaughn Yundt,
Gov. Venessa Pfannerstill,
Gov. Wava Graham,
Gov. Williemae Klocko,
Grace Armstrong V,
Grace Heller,
Gracia Kozey,
Gracie Kozey,
Grady Dach,
Grady Reichel,
Grady Simonis,
Grady Smith Esq.,
Graham Mann II,
Graham Runolfsson,
Graig Kling,
Graig Lebsack Esq.,
Graig McKenzie Ret.,
Graig Vandervort,
Graig Volkman,
Grant Altenwerth,
Grant Corkery,
Grant Leuschke,
Grant Okuneva,
Grant Shields,
Grant Zieme,
Granville Jaskolski Jr.,
Granville Tremblay,
Grazyna Blick,
Grazyna Schneider,
Grazyna Smith,
Greg Bernhard,
Greg Greenfelder III,
Greg Ortiz MD,
Greg Shanahan,
Gregg Roob,
Gregoria Bartoletti,
Gregoria Deckow,
Gregorio Harris,
Gregorio Murazik DC,
Gregorio Sanford Jr.,
Gregorio Satterfield,
Gregory Jones LLD,
Gregory Kuphal,
Gregory O'Reilly,
Gregory Wilderman,
Greta Willms,
Gretta Reilly Esq.,
Gricelda Nitzsche,
Grisel Tremblay Ret.,
Griselda Runolfsson,
Griselda Stark,
Grover Raynor,
Guadalupe DuBuque,
Guadalupe Legros,
Guadalupe Marquardt,
Guillermina Johnson,
Guillermo Roberts,
Guillermo Steuber,
Guillermo Torphy DDS,
Gus Medhurst,
Gus Satterfield,
Gus Zieme DC,
Gussie Considine LLD,
Gustavo Langworth,
Gustavo Tillman,
Guy Gleason,
Guy Hoeger,
Gwen Jacobi,
Gwen Kessler,
Gwenn Stanton,
Gwyn Huel,
Gwyn Mann,
Gwyneth Crist,
Gwyneth Wiegand,
Ha Block,
Ha Welch,
Hae Hayes,
Hai Crooks DVM,
Hai Littel,
Hai Powlowski,
Hai Strosin,
Hai Zieme,
Hailey Powlowski,
Hal Cronin,
Hal Schuster,
Haley Quitzon DC,
Hallie Brown,
Hanh Cormier V,
Hanh Farrell,
Hank Gottlieb Sr.,
Hank Runte,
Hannelore Champlin,0.0
Hannelore Paucek,
Hans Kozey JD,65.43
Hans Paucek,
Hans Price,
Hans Reilly IV,
Harlan Bartoletti,
Harlan Halvorson DO,
Harlan Schinner II,
Harland Beier DDS,
Harland Cartwright,
Harland Conn,
Harland Cronin MD,
Harland Gorczany,
Harland Maggio,
Harland Torphy JD,
Harland Wintheiser,
Harley Beatty,
Harley Mertz,
Harold Abshire,
Harold Mante III,
Harriet Kunze,
Harriet Schowalter,
Harriett Lang,
Harriett Wyman Esq.,
Harris Carroll,
Harris Crona,
Harris Dicki,
Harris Flatley DC,
Harris Hudson,
Harris Macejkovic II,
Harris Stanton JD,
Harrison Bashirian,
Harrison Howe,
Harry Dickens,
Harry Emard,
Harry Fay,
Harry Rolfson,
Harvey Effertz,
Harvey Lang,
Harvey Lowe,
Harvey Mills,
Harvey Trantow,
Harvey Wiza V,
Hassan Douglas,
Hassan Lehner VM,
Hassan Littel,
Hassan Marquardt,
Hassan Sauer,
Haydee Lockman I,
Haydee Schmidt,
Haydee Schowalter,
Hayden Barrows,
Hayden Gleason,
Hayden Rogahn,
Hayden Tillman,
Haywood Fisher,
Hazel Lowe,
Hazel Runolfsson,166.97
Hazel Spinka,
Heath Goyette,
Heath Hartmann MD,
Heath Kshlerin,
Heath McGlynn CPA,
Heath O'Kon,
Heath Powlowski,
Heath Zulauf DDS,
Heather Wisozk,
Hector Casper IV,
Hector Hyatt,
Hector Pfannerstill,
Hedwig Lindgren,
Hedy Grimes,
Hedy Lueilwitz II,
Heidi Hyatt,
Heidy Breitenberg DVM,
Heidy Jacobson,
Heidy Price,
Heike Hickle,
Heike O'Connell,
Heike Schinner,
Heike Wuckert,
Helen Braun,
Helene Hilll,
Helene Schultz,
Helga Gutmann Sr.,
Henrietta Wisozk,
Henrietta Zboncak,
Henry Collins,
Henry Feeney,
Henry Franecki,
Henry Gleichner,
Henry Hane V,
Henry Moore,
Henry Parker,0.17999999999999972
Henry Sporer,
Henry Zulauf,
Herb Grant,
Herb Kreiger,
Herb Kunde,
Herb Wiegand,
Herbert Heidenreich VM,
Herbert Wilderman I,
Heriberto Carroll,
Heriberto Gutmann,
Heriberto Pfannerstill,
Heriberto Schmitt,
Heriberto Senger,
Herlinda Wyman,
Herma Schoen,
Herman Bednar,
Herman Fahey,
Herman Koch,
Hermila Boyle,
Hermila Carroll,
Hermila Lueilwitz,
Hermina Feil,
Hermine Kris LLD,
Hermine Nader,
Herschel Nitzsche MD,
Herschel Smitham,
Hershel Ferry,
Hershel Johns,
Hershel Kuhic,
Hershel Padberg,
Hershel Schiller,
Hershel Tillman,
Hertha Gulgowski,
Hester Schuster,
Hiedi Fahey PhD,
Hien Gerhold,
Hien Moore,
Hilario Steuber,
Hilda Botsford,
Hilda Senger,
Hilde Nitzsche,
Hildegarde Dare DVM,
Hillary Herman,
Hilma Crooks Esq.,
Hilma Friesen,
Hilton Nolan,
Hipolito Jacobson,
Hipolito Pouros,
Hiram Kuphal,
Hiram Pouros,
Hiram Purdy,
Hiram Runolfsson,
Hiroko Gusikowski,
Hiroko Jerde,
Hiroko Roberts,
Hisako Gutmann,
Hoa Mayer,
Hobert Barrows,
Hobert Cronin,
Hobert Farrell,
Holley Cronin,
Hollie Kertzmann,
Hollie Schaden,
Hollis Dooley,
Hollis Kerluke,
Hollis Kuvalis,
Hollis Mayert,
Hollis Ziemann LLD,
Homer Hamill,
Homer Johnson,
Honey McGlynn,
Hong Bednar,
Hong Brekke,
Hong Hermann,
Hong Keebler,
Hong Mills,
Hope Kohler,
Horace Altenwerth,
Horace DuBuque,
Horacio Koch,
Horacio Schimmel,
Horacio Schumm,
Horacio Simonis IV,
Hortencia Fahey II,
Hortencia Johns,
Hosea Marquardt,
Houston Nikolaus,
Houston Reichert,
Howard Huel,
Howard Torp,
Hoyt Doyle,
Hoyt Fahey,
Hoyt Koepp IV,
Hoyt Wintheiser Sr.,
Hsiu Spencer,
Hubert Durgan,
Hubert Lebsack,
Hue Boehm,
Hue Ferry,
Huey Crist,
Huey Kautzer,
Huey Kuhic,
Huey Schuster,
Hugh Heidenreich,
Hugh Kshlerin III,
Hugh Mills,
Hugo Funk,
Hugo Goodwin,
Hugo Homenick,
Hugo Kozey,
Hugo Moen,
Hugo O'Connell,
Hugo Ondricka JD,
Hugo Price Esq.,
